"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "XML", "CSS", "JSON", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/.eslintrc.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 37, 77
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/global.d.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 6, 39
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/package-lock.json", "JSON", 0, 0, 0, 0, 0, 1786, 0, 0, 0, 0, 1, 1787
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/package.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/prettier.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Button/index.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Input/index.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationForm/index.tsx", "TypeScript React", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationForm/style.module.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationForm/types.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/Filter.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/Table.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/index.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/IntegrationTable/types.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Number/index.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/ComponentSelection.tsx", "TypeScript React", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 71
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/DisabledInput.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/LabelColInput.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/LabelInput.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/MaxInput.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/MinInput.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/RequiredInput.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/TypeInput.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/UUIDInput.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/index.tsx", "TypeScript React", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/ComponentFormDrawer/Public/style.module.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
